sender_application_id|primary_key_type|bg_operation_id|transaction_id|operation_id|operation_short_desc|operation_large_desc|    transaction_name|transaction_operation_name|sign_type|data_code_id|commercial_product_type|commercial_subproduct_type|        product_name|group_transaction_type|group_origin_transaction_type|cutoff_date
                   BG|      SPMCAPTB01|            SPM|          CAPT|         B01|SDO PROM MENSUAL VAL|SALDO PROMEDIO ME...|SALDO PROMEDIO ME...|      SALDO PROMEDIO ME...|        +|        1101|                     11|                      1101|SALDO PROMEDIO ME...|                  null|                         null| 2021-12-31
                   BG|      SFMCAPTB02|            SFM|          CAPT|         B02|    SDO PUNT MES VAL|SALDO PUNTUAL CIE...|SALDO PUNTUAL CIE...|      SALDO PUNTUAL CIE...|        +|        1102|                     11|                      1102|SALDO PUNTUAL CIE...|                  null|                         null| 2021-12-31
                   UG|      SVPCREDU10|            SVP|          CRED|         U10|SDO VIG PROM MEN VAL|SALDO VIGENTE PRO...|SALDO VIGENTE PRO...|      SALDO VIGENTE PRO...|        +|        1110|                     11|                      1110|SALDO VIGENTE PRO...|                  null|                         null| 2021-12-31
                   UG|      SDPCREDU20|            SDP|          CRED|         U20|SDO VEN PROM MEN VAL|SALDO VENCIDO PRO...|SALDO VENCIDO PRO...|      SALDO VENCIDO PRO...|        +|        1120|                     11|                      1120|SALDO VENCIDO PRO...|                  null|                         null| 2021-12-31
                   UG|      SVFCREDU30|            SVF|          CRED|         U30|SDO VIG PUNT MEN VAL|SALDO VIGENTE PUN...|SALDO VIGENTE PUN...|      SALDO VIGENTE PUN...|        +|        1130|                     11|                      1130|SALDO VIGENTE PUN...|                  null|                         null| 2021-12-31
                   UG|      SDFCREDU40|            SDF|          CRED|         U40|SDO VEN PUNT MEN VAL|SALDO VENCIDO PUN...|SALDO VENCIDO PUN...|      SALDO VENCIDO PUN...|        +|        1140|                     11|                      1140|SALDO VENCIDO PUN...|                  null|                         null| 2021-12-31
                   UG|      SCPCREDU50|            SCP|          CRED|         U50|SDO PROM MENSUAL VAL|SALDO PROMEDIO ME...|SALDO PROMEDIO ME...|      SALDO PROMEDIO ME...|        +|        1150|                     11|                      1150|SALDO PROMEDIO ME...|                  null|                         null| 2021-12-31
                  SIC|      SICCOBRS01|            SIC|          COBR|         S01|              SICOCO|              SICOCO|SISTEMA COBRANZA ...|                   CHEQUES|        +|        2002|                     70|                      7001|             CHEQUES|                  null|                         null| 2021-12-31
                  SIC|      SICCOBRS04|            SIC|          COBR|         S04|              SICOCO|              SICOCO|SISTEMA COBRANZA ...|      CONCENTRACION INM...|        +|        2002|                     70|                      7004|CONCENTRACION INM...|                  null|                         null| 2021-12-31
                  SIC|      SICCOBRS05|            SIC|          COBR|         S05|              SICOCO|              SICOCO|SISTEMA COBRANZA ...|      PAGOS ELECTRONICO...|        +|        2002|                     70|                      7005|PAGOS ELECTRONICO...|                  null|                         null| 2021-12-31